Source identifier ,Plume latitude (deg),Plume longitude (deg),Candidate identifier,Date of detection,Time of detection (UTC),Source type (best estimate),Sectors (IPCC),Qplume (kg/hr): Plume emissions,Sigma Qplume (kg/hr): Uncertainty for plume emissions
S00833,35.554011,-119.096095,ang20171026t210059-E,10/26/17,21:00,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,132,26
S00834,35.453966,-119.017965,ang20170905t191138-A,9/5/17,19:11,oil/gas pumpjack,1B2 Oil & Natural Gas,246,34
S00835,35.44305,-119.003067,ang20170926t210253-A,9/26/17,21:02,oil/gas pumpjack,1B2 Oil & Natural Gas,160,35
S00836,35.441767,-119.003657,ang20171026t205326-B,10/26/17,20:53,oil/gas pumpjack,1B2 Oil & Natural Gas,90,7
S00839,35.470594,-119.039387,ang20170902t191312-B,9/2/17,19:13,oil/gas tank,1B2 Oil & Natural Gas,152,15
S00840,35.53653,-119.077937,ang20170615t223601-E,6/15/17,22:36,oil/gas tank,1B2 Oil & Natural Gas,299,98
S00840,35.53653,-119.077937,ang20170905t192647-B,9/5/17,19:26,oil/gas tank,1B2 Oil & Natural Gas,556,214
S00841,35.553898,-119.096887,ang20170905t192647-C,9/5/17,19:26,oil/gas tank,1B2 Oil & Natural Gas,294,93
S00842,35.437202,-119.009085,ang20171026t205326-A,10/26/17,20:53,oil/gas tank,1B2 Oil & Natural Gas,151,13
S00844,35.960076,-120.015224,ang20170920t204106-B,9/20/17,20:41,landfill,4A1 Managed Waste Disposal Sites,137,53
S00845,37.528891,-120.95412,ang20170930t200615-A,9/30/17,20:06,dairy/manure,3A2 Manure Management,302,83
S00846,37.536295,-120.952019,ang20170930t202428-A,9/30/17,20:24,dairy/manure,3A2 Manure Management,213,139
S00847,37.569259,-120.977226,ang20170930t202428-B,9/30/17,20:24,dairy/manure,3A2 Manure Management,80,34
S00848,32.780837,-117.043448,ang20170925t212940-A,9/25/17,21:29,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,100,22
S00849,37.878807,-121.189306,ang20170930t214843-C,9/30/17,21:48,landfill,4A1 Managed Waste Disposal Sites,676,318
S00850,37.83571,-121.268641,ang20170930t202428-C,9/30/17,20:24,oil/gas tank,1B2 Oil & Natural Gas,96,27
S00852,33.845592,-118.238142,ang20170901t221701-E,9/1/17,22:17,refinery,1A1 Energy Industries,856,401
S00853,35.56224,-119.696672,ang20170902t205016-A,9/2/17,20:50,oil/gas pumpjack,1B2 Oil & Natural Gas,99,37
S00855,35.642373,-119.746587,ang20170905t203159-B,9/5/17,20:31,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,204,40
S00857,38.026355,-122.167771,ang20171006t204238-A,10/6/17,20:42,landfill,4A1 Managed Waste Disposal Sites,255,59
