New source,Source Latitude (deg),Source Longitude (deg),Plume Latitude (deg),Plume Longitude (deg),Candidate ID,Line name,Date of detection,Time of detection (UTC),Vista ID,Source type (best estimate),Sectors (IPCC),IME/L (kg/m),sIME (kg/m),u10 (m/s),su10 (m/s),Qplume (kg/hr)*,sQplume (kg/hr)*,Nearest facility
S00610,35.18720984,-119.1150524,35.18720984,-119.1150524,ang20170926t183717-B,ang20170926t183717,9/26/17,18:37:17,DAF000891,dairy/manure,3A2 Manure Management,0.013,0.003,1.83,0.14,89,19,Western Sky Dairy
S00610,35.18720984,-119.1150524,35.18720984,-119.1150524,ang20171026t203137-B,ang20171026t203137,10/26/17,20:31:37,DAF000891,dairy/manure,3A2 Manure Management,0.048,0.028,2.87,0.06,499,286,Western Sky Dairy
S00610,35.18720984,-119.1150524,35.18720984,-119.1150524,ang20171113t181422-B,ang20171113t181422,11/13/17,18:14:22,DAF000891,dairy/manure,3A2 Manure Management,0.039,0.013,1.8,0.06,249,87,Western Sky Dairy
S00611,35.18677146,-119.1019431,35.18677146,-119.1019431,ang20170616t195956-E,ang20170616t195956,6/16/17,19:59:56,DAF000803,dairy/manure,3A2 Manure Management,0.02,0.006,2.6,0.42,184,65,T & W Farms Dairy
S00611,35.18677146,-119.1019431,35.18677146,-119.1019431,ang20171026t203137-A,ang20171026t203137,10/26/17,20:31:37,DAF000803,dairy/manure,3A2 Manure Management,0.022,0.008,2.87,0.06,225,78,T & W Farms Dairy
S00612,35.49322064,-119.4502329,35.49322064,-119.4502329,ang20170616t202241-A,ang20170616t202241,6/16/17,20:22:41,DAF000604,dairy/manure,3A2 Manure Management,0.006,0.002,3.96,0.41,79,27,Unknown dairy 15
S00612,35.49322064,-119.4502329,35.49322064,-119.4502329,ang20171010t205643-B,ang20171010t205643,10/10/17,20:56:43,DAF000604,dairy/manure,3A2 Manure Management,0.022,0.007,2.17,0.21,171,59,Unknown dairy 15
S00614,36.04392217,-119.4561613,36.04392217,-119.4561613,ang20170309t202411-C,ang20170309t202411,3/9/17,20:24:11,DAF000121,dairy/manure,3A2 Manure Management,0.119,0.031,1.28,0.21,548,170,Bosman Dairy
S00614,36.04392217,-119.4561613,36.04392217,-119.4561613,ang20170616t210522-J,ang20170616t210522,6/16/17,21:05:22,DAF000121,dairy/manure,3A2 Manure Management,0.021,0.013,3.19,0.23,238,147,Bosman Dairy
S00614,36.04392217,-119.4561613,36.04392217,-119.4561613,ang20170916t213842-B,ang20170916t213842,9/16/17,21:38:42,DAF000121,dairy/manure,3A2 Manure Management,0.019,0.005,3.45,0.18,242,58,Bosman Dairy
S00614,36.04392217,-119.4561613,36.04392217,-119.4561613,ang20170920t193250-B,ang20170920t193250,9/20/17,19:32:50,DAF000121,dairy/manure,3A2 Manure Management,0.009,0.003,2.33,0.1,77,24,Bosman Dairy
S00616,36.41275374,-119.3452208,36.41275374,-119.3452208,ang20170616t215026-A,ang20170616t215026,6/16/17,21:50:26,DAF000251,dairy/manure,3A2 Manure Management,0.011,0,2.68,0.24,102,10,Unknown dairy 16
S00617,36.41150012,-119.3660491,36.41150012,-119.3660491,ang20170616t215026-B,ang20170616t215026,6/16/17,21:50:26,DAF000787,dairy/manure,3A2 Manure Management,0.025,0.013,2.68,0.24,238,130,Milky Way Dairy
S00618,38.31463428,-121.8337761,38.31463428,-121.8337761,ang20170617t185116-A,ang20170617t185116,6/17/17,18:51:16,LNF000516,dairy/manure,3A2 Manure Management,0.076,0.024,3.52,0.38,962,321,Unknown dairy 17
SLF001,37.74877309,-121.654783,37.74877309,-121.654783,ang20170618t183142-A,ang20170618t183142,6/18/17,18:31:42,LNF000022,landfill,4A1 Managed Waste Disposal Sites,0.013,0.011,3.59,0.19,171,143,Altamont Landfill & Resource Recovery
SLF008,37.498386,-122.407651,37.498386,-122.407651,ang20170618t184938-B,ang20170618t184938,6/18/17,18:49:38,LNF000182,landfill,4A1 Managed Waste Disposal Sites,0.17,0.028,1.49,0.39,912,279,Corinda Los Trancos Landfill
SLF008,37.498386,-122.407651,37.498386,-122.407651,ang20171006t215434-B,ang20171006t215434,10/6/17,21:54:34,LNF000182,landfill,4A1 Managed Waste Disposal Sites,0.088,0.03,3.65,0.85,1160,480,Corinda Los Trancos Landfill
S00624,37.431179,-121.948612,37.431179,-121.948612,ang20170618t193955-A,ang20170618t193955,6/18/17,19:39:55,LNF000442,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,0.052,0.018,2.08,0.42,392,159,San Jose Waste Treatment
S00624,37.431179,-121.948612,37.431179,-121.948612,ang20170618t194516-A,ang20170618t194516,6/18/17,19:45:16,LNF000442,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,0.05,0.024,2.23,0.6,404,224,San Jose Waste Treatment
S00624,37.431179,-121.948612,37.431179,-121.948612,ang20170620t224217-A,ang20170620t224217,6/20/17,22:42:17,LNF000442,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,0.004,0.002,4.57,0.48,64,35,San Jose Waste Treatment
S00624,37.431179,-121.948612,37.431179,-121.948612,ang20170620t224811-A,ang20170620t224811,6/20/17,22:48:11,LNF000442,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,0.023,0.015,4.57,0.48,372,252,San Jose Waste Treatment
S00624,37.431179,-121.948612,37.431179,-121.948612,ang20170620t225336-B,ang20170620t225336,6/20/17,22:53:36,LNF000442,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,0.017,0.007,4.36,0.5,267,108,San Jose Waste Treatment
SLF027,37.759348,-121.728186,37.759348,-121.728186,ang20171006t190448-B,ang20171006t190448,10/6/17,19:04:48,LNF000675,landfill,4A1 Managed Waste Disposal Sites,0.01,0.003,3.07,0.43,112,41,Vasco Road Sanitary Landfill
SLF023,34.327339,-118.517598,34.327339,-118.517598,ang20170309t191857-C,ang20170309t191857,3/9/17,19:18:57,LNF000615,landfill,4A1 Managed Waste Disposal Sites,0.143,0.041,2.72,1.43,1399,842,Sunshine Canyon Landfill
S00642,33.76501898,-118.0992873,33.76501898,-118.0992873,ang20170830t191500-A,ang20170830t191500,8/30/17,19:15:00,0:00,powerplant,1A1 Energy Industries,0.007,0.002,3.18,0.15,75,28,Haynes Powerplant
S00642,33.76501898,-118.0992873,33.76501898,-118.0992873,ang20170901t221701-B,ang20170901t221701,9/1/17,22:17:01,0:00,powerplant,1A1 Energy Industries,0.007,0.002,4.09,1.12,105,44,Haynes Powerplant
S00643,33.63937135,-117.9565514,33.63937135,-117.9565514,ang20170830t192655-A,ang20170830t192655,8/30/17,19:26:55,WWT000087,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,0.012,0.004,2.67,0.16,115,41,Plant No. 2 Orange County
S00644,33.79786671,-118.2360763,33.79786671,-118.2360763,ang20170830t195557-A,ang20170830t195557,8/30/17,19:55:57,REF000020,oil/gas tank,1B2 Oil & Natural Gas,0.027,0.01,2.77,0.54,265,108,Tesoro - Wilmington
S00645,33.796881,-118.249131,33.796881,-118.249131,ang20170830t200807-A,ang20170830t200807,8/30/17,20:08:07,FLD000507,gas LNG station,1B2 Oil & Natural Gas,0.151,0.072,1.79,0.79,972,632,Gas LNG Station
S00646,33.80543235,-118.2439534,33.80543235,-118.2439534,ang20170830t200807-B,ang20170830t200807,8/30/17,20:08:07,REF000012,refinery,1A1 Energy Industries,0.008,0.004,1.79,0.79,53,33,Phillips 66 Refinery-Carson
S00647,33.940093,-118.425344,33.940093,-118.425344,ang20170830t204211-A,ang20170830t204211,8/30/17,20:42:11,LNG000021,gas LNG station,1B2 Oil & Natural Gas,0.017,0.006,2.93,0.22,176,65,Gas LNG Station
S00647,33.940093,-118.425344,33.940093,-118.425344,ang20170911t201834-A,ang20170911t201834,9/11/17,20:18:34,LNG000021,gas LNG station,1B2 Oil & Natural Gas,0.04,0.008,4.29,0.54,625,145,Gas LNG Station
S00650,34.3178484,-118.573269,34.3178484,-118.573269,ang20170901t182257-A,ang20170901t182257,9/1/17,18:22:57,NSF000001,oil/gas tank,1B2 Oil & Natural Gas,0.017,0.003,4.27,1.92,263,130,Aliso Canyon Oil & Gas Field
S00652,33.796755,-118.237435,33.796755,-118.237435,ang20170901t203520-B,ang20170901t203520,9/1/17,20:35:20,REF000020,oil/gas tank,1B2 Oil & Natural Gas,0.011,0.003,1.66,0.62,66,30,Tesoro - Wilmington
S00653,33.780818,-118.256448,33.780818,-118.256448,ang20170901t204654-A,ang20170901t204654,9/1/17,20:46:54,FLD000507,oil/gas tank,1B2 Oil & Natural Gas,0.008,0.003,1.7,0.69,49,27,Wilmington Oil & Gas Field
S00653,33.780818,-118.256448,33.780818,-118.256448,ang20171023t204704-A,ang20171023t204704,10/23/17,20:47:04,FLD000507,oil/gas tank,1B2 Oil & Natural Gas,0.024,0.007,1.47,0.39,128,48,Wilmington Oil & Gas Field
S00653,33.780818,-118.256448,33.780818,-118.256448,ang20171024t205748-A,ang20171024t205748,10/24/17,20:57:48,FLD000507,oil/gas tank,1B2 Oil & Natural Gas,0.012,0.004,3.48,0.36,155,48,Wilmington Oil & Gas Field
S00654,33.7751,-118.288828,33.7751,-118.288828,ang20171023t202450-A,ang20171023t202450,10/23/17,20:24:50,REF000013,refinery,1A1 Energy Industries,0.056,0.018,1.55,0.34,314,121,Phillips 66 Refinery-Wilmington
S00654,33.7751,-118.288828,33.7751,-118.288828,ang20171024t203615-A,ang20171024t203615,10/24/17,20:36:15,REF000013,refinery,1A1 Energy Industries,0.013,0.01,3.72,0.42,180,138,Phillips 66 Refinery-Wilmington
S00655,33.774404,-118.282011,33.774404,-118.282011,ang20170901t211100-C,ang20170901t211100,9/1/17,21:11:00,REF000013,refinery,1A1 Energy Industries,0.004,0.002,2.32,0.98,37,21,Phillips 66 Refinery-Wilmington
S00657,35.39502641,-119.053121,35.39502641,-119.053121,ang20170902t183146-A,ang20170902t183146,9/2/17,18:31:46,NA,oil/gas tank,1B2 Oil & Natural Gas,0.023,0.005,1.87,0.21,154,37,Fruitvale Oil & Gas Field
S00657,35.39502641,-119.053121,35.39502641,-119.053121,ang20170902t183845-A,ang20170902t183845,9/2/17,18:38:45,NA,oil/gas tank,1B2 Oil & Natural Gas,0.009,0.003,1.87,0.21,59,20,Fruitvale Oil & Gas Field
S00657,35.39502641,-119.053121,35.39502641,-119.053121,ang20170905t181208-B,ang20170905t181208,9/5/17,18:12:08,NA,oil/gas tank,1B2 Oil & Natural Gas,0.019,0.001,2.6,0.16,179,16,Fruitvale Oil & Gas Field
S00657,35.39502641,-119.053121,35.39502641,-119.053121,ang20170905t181928-A,ang20170905t181928,9/5/17,18:19:28,NA,oil/gas tank,1B2 Oil & Natural Gas,0.031,0.012,2.6,0.16,290,115,Fruitvale Oil & Gas Field
S00658,35.421747,-119.079611,35.421747,-119.079611,ang20170902t183146-B,ang20170902t183146,9/2/17,18:31:46,NA,gas distribution line,1B2 Oil & Natural Gas,0.033,0.015,1.87,0.21,220,102,Fruitvale Oil & Gas Field
S00658,35.421747,-119.079611,35.421747,-119.079611,ang20170902t183845-B,ang20170902t183845,9/2/17,18:38:45,NA,gas distribution line,1B2 Oil & Natural Gas,0.006,0.001,1.87,0.21,42,7,Fruitvale Oil & Gas Field
S00658,35.421747,-119.079611,35.421747,-119.079611,ang20170905t181208-A,ang20170905t181208,9/5/17,18:12:08,NA,gas distribution line,1B2 Oil & Natural Gas,0.013,0.006,2.6,0.16,126,61,Fruitvale Oil & Gas Field
S00658,35.421747,-119.079611,35.421747,-119.079611,ang20170905t181928-B,ang20170905t181928,9/5/17,18:19:28,NA,gas distribution line,1B2 Oil & Natural Gas,0.028,0.003,2.6,0.16,265,29,Fruitvale Oil & Gas Field
S00659,35.366032,-119.670356,35.366032,-119.670356,ang20170905t210354-M,ang20170905t210354,9/5/17,21:03:54,FLD000112,oil/gas gathering line,1B2 Oil & Natural Gas,0.013,0.001,4.52,0.67,209,37,Cymric Oil & Gas Field
S00660,35.37663892,-119.6843226,35.37663892,-119.6843226,ang20170902t211355-C,ang20170902t211355,9/2/17,21:13:55,FLD000112,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.009,0.001,4.24,0.05,131,23,Cymric Oil & Gas Field
S00661,35.241237,-119.590428,35.241237,-119.590428,ang20170902t211355-D,ang20170902t211355,9/2/17,21:13:55,LNF000030,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.015,0.002,4.24,0.05,230,27,Midway Sunset Oil & Gas Field
S00663,35.417435,-119.702655,35.417435,-119.702655,ang20170902t211355-F,ang20170902t211355,9/2/17,21:13:55,FLD000028,oil/gas tank,1B2 Oil & Natural Gas,0.01,0.004,4.24,0.05,148,66,Belridge South Oil & Gas Field
S00669,35.17964794,-119.4601697,35.17964794,-119.4601697,ang20170906t190138-A,ang20170906t190138,9/6/17,19:01:38,NPP000001,oil/gas pumpjack,1B2 Oil & Natural Gas,0.07,0.02,3.53,0.32,883,266,Buena Vista Oil & Gas Field
S00670,35.16043483,-119.3911671,35.16043483,-119.3911671,ang20170906t190807-A,ang20170906t190807,9/6/17,19:08:07,LNF000083,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.039,0.006,4.21,0.45,588,116,Midway Sunset Oil & Gas Field
S00671,35.39844348,-119.0487745,35.39844348,-119.0487745,ang20170906t203712-A,ang20170906t203712,9/6/17,20:37:12,REF000017,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.017,0.006,4.46,0.23,280,96,Fruitvale Oil & Gas Field
S00672,35.326999,-118.961587,35.326999,-118.961587,ang20170906t203712-B,ang20170906t203712,9/6/17,20:37:12,DAF000347,dairy/manure,3A2 Manure Management,0.01,0.001,4.46,0.23,157,16,Unknown dairy 24
S00673,35.27308843,-119.4014501,35.27308843,-119.4014501,ang20170906t210217-D,ang20170906t210217,9/6/17,21:02:17,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.021,0.003,5.92,0.36,450,67,Elk Hills Oil & Gas Field
S00674,35.27395717,-119.3929981,35.27395717,-119.3929981,ang20170906t210217-E,ang20170906t210217,9/6/17,21:02:17,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.025,0.002,5.92,0.36,533,57,Elk Hills Oil & Gas Field
S00677,34.32163038,-119.3234451,34.32163038,-119.3234451,ang20170907t204826-A,ang20170907t204826,9/7/17,20:48:26,FLD000486,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.03,0.01,4.41,0.9,475,185,Ventura Oil & Gas Field
S00678,34.3373985,-119.380804,34.3373985,-119.380804,ang20170907t204826-B,ang20170907t204826,9/7/17,20:48:26,FLD000362,oil/gas gathering line,1B2 Oil & Natural Gas,0.047,0.005,4.41,0.9,751,175,Rincon Oil & Gas Field
S00678,34.3373985,-119.380804,34.3373985,-119.380804,ang20170907t210002-A,ang20170907t210002,9/7/17,21:00:02,FLD000362,oil/gas gathering line,1B2 Oil & Natural Gas,0.076,0.016,5.83,1.12,1587,454,Rincon Oil & Gas Field
S00678,34.3373985,-119.380804,34.3373985,-119.380804,ang20170907t210629-A,ang20170907t210629,9/7/17,21:06:29,FLD000362,oil/gas gathering line,1B2 Oil & Natural Gas,0.082,0.02,5.83,1.12,1713,529,Rincon Oil & Gas Field
S00679,35.23969988,-119.3798052,35.23969988,-119.3798052,ang20170909t175820-A,ang20170909t175820,9/9/17,17:58:20,NPP000018,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.085,0.022,1.11,0.37,,,Elk Hills Oil & Gas Field
S00680,35.29335746,-119.569781,35.29335746,-119.569781,ang20170909t181441-A,ang20170909t181441,9/9/17,18:14:41,FLD000018,oil/gas gathering line,1B2 Oil & Natural Gas,0.013,0.003,2.12,0.37,98,28,Asphalto Oil & Gas Field
S00681,35.31436944,-119.5761781,35.31436944,-119.5761781,ang20170909t182228-A,ang20170909t182228,9/9/17,18:22:28,FLD000140,oil/gas gathering line,1B2 Oil & Natural Gas,0.053,0.015,2.19,0.29,422,129,Elk Hills Oil & Gas Field
S00684,38.043288,-122.250975,38.043288,-122.250975,ang20170910t202130-A,ang20170910t202130,9/10/17,20:21:30,REF000014,refinery,1A1 Energy Industries,0.096,0.014,1.64,0.75,566,271,Phillips 66 Refinery-Rodeo
S00684,38.043288,-122.250975,38.043288,-122.250975,ang20170910t203414-A,ang20170910t203414,9/10/17,20:34:14,REF000014,refinery,1A1 Energy Industries,0.08,0.029,1.64,0.75,472,276,Phillips 66 Refinery-Rodeo
S00685,33.815912,-117.863483,33.815912,-117.863483,ang20170911t191257-A,ang20170911t191257,9/11/17,19:12:57,NA,gas distribution line,1B2 Oil & Natural Gas,0.027,0.004,2.05,0.15,201,34,Orange Neighborhood
S00685,33.815912,-117.863483,33.815912,-117.863483,ang20170918t224258-A,ang20170918t224258,9/18/17,22:42:58,NA,gas distribution line,1B2 Oil & Natural Gas,0.066,0.015,2.92,0.1,690,158,Orange Neighborhood
S00686,33.78320117,-118.2219448,33.78320117,-118.2219448,ang20170911t195345-A,ang20170911t195345,9/11/17,19:53:45,LNF000035,gas LNG station,1B2 Oil & Natural Gas,0.008,0.002,1.35,0.35,38,15,Clean Energy Gas LNG Station - Port of Long Beach
S00686,33.78320117,-118.2219448,33.78320117,-118.2219448,ang20170918t230003-A,ang20170918t230003,9/18/17,23:00:03,LNF000035,gas LNG station,1B2 Oil & Natural Gas,0.052,0.022,2.5,0.53,470,221,Clean Energy Gas LNG Station - Port of Long Beach
S00686,33.78320117,-118.2219448,33.78320117,-118.2219448,ang20171023t205826-B,ang20171023t205826,10/23/17,20:58:26,LNF000035,gas LNG station,1B2 Oil & Natural Gas,0.011,0.004,1.24,0.53,48,27,Clean Energy Gas LNG Station - Port of Long Beach
S00686,33.78320117,-118.2219448,33.78320117,-118.2219448,ang20171023t210905-A,ang20171023t210905,10/23/17,21:09:05,LNF000035,gas LNG station,1B2 Oil & Natural Gas,0.023,0.011,1.14,0.79,93,78,Clean Energy Gas LNG Station - Port of Long Beach
S00686,33.78320117,-118.2219448,33.78320117,-118.2219448,ang20171024t190959-A,ang20171024t190959,10/24/17,19:09:59,LNF000035,gas LNG station,1B2 Oil & Natural Gas,0.039,0.013,3.5,0.19,488,167,Clean Energy Gas LNG Station - Port of Long Beach
S00687,33.91067056,-117.1228578,33.91067056,-117.1228578,ang20170911t215016-A,ang20170911t215016,9/11/17,21:50:16,NA,gas compressor,1B2 Oil & Natural Gas,0.036,0.016,4.46,0.68,576,267,Virginia 2 Natural Gas Compressor Station
S00689,35.474918,-119.430552,35.474918,-119.430552,ang20170915t174311-D,ang20170915t174311,9/15/17,17:43:11,DAF000888,dairy/manure,3A2 Manure Management,0.006,0.003,1.74,0.13,40,18,West-Star North Dairy
S00689,35.474918,-119.430552,35.474918,-119.430552,ang20170915t175302-B,ang20170915t175302,9/15/17,17:53:02,DAF000888,dairy/manure,3A2 Manure Management,0.009,0.005,1.74,0.13,57,31,West-Star North Dairy
S00689,35.474918,-119.430552,35.474918,-119.430552,ang20170915t175755-A,ang20170915t175755,9/15/17,17:57:55,DAF000888,dairy/manure,3A2 Manure Management,0.009,0.003,1.74,0.13,56,18,West-Star North Dairy
S00689,35.474918,-119.430552,35.474918,-119.430552,ang20170915t180634-D,ang20170915t180634,9/15/17,18:06:34,DAF000888,dairy/manure,3A2 Manure Management,0.009,0.004,3.39,0.13,105,50,West-Star North Dairy
S00691,35.473036,-119.430459,35.473036,-119.430459,ang20170915t181122-E,ang20170915t181122,9/15/17,18:11:22,DAF000888,dairy/manure,3A2 Manure Management,0.011,0.005,2.63,0.19,108,44,West-Star North Dairy
S00691,35.473036,-119.430459,35.473036,-119.430459,ang20170915t201559-B,ang20170915t201559,9/15/17,20:15:59,DAF000888,dairy/manure,3A2 Manure Management,0.09,0.022,1.92,0.17,620,159,West-Star North Dairy
S00692,35.473359,-119.432169,35.473359,-119.432169,ang20170915t175755-D,ang20170915t175755,9/15/17,17:57:55,DAF000888,dairy/manure,3A2 Manure Management,0.026,0.011,1.74,0.13,161,69,West-Star North Dairy
S00692,35.473359,-119.432169,35.473359,-119.432169,ang20170920t190530-C,ang20170920t190530,9/20/17,19:05:30,DAF000888,dairy/manure,3A2 Manure Management,0.021,0.006,2.93,0.1,222,69,West-Star North Dairy
S00692,35.473359,-119.432169,35.473359,-119.432169,ang20170926t201825-B,ang20170926t201825,9/26/17,20:18:25,DAF000888,dairy/manure,3A2 Manure Management,0.031,0.009,2.87,0.1,320,90,West-Star North Dairy
S00692,35.473359,-119.432169,35.473359,-119.432169,ang20171113t191546-A,ang20171113t191546,11/13/17,19:15:46,DAF000888,dairy/manure,3A2 Manure Management,0.015,0.002,1.14,0.13,62,11,West-Star North Dairy
S00692,35.473359,-119.432169,35.473359,-119.432169,ang20171113t203745-C,ang20171113t203745,11/13/17,20:37:45,DAF000888,dairy/manure,3A2 Manure Management,0.071,0.01,1.55,0.12,395,66,West-Star North Dairy
S00694,35.28040927,-119.5093487,35.28040927,-119.5093487,ang20170915t182947-C,ang20170915t182947,9/15/17,18:29:47,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.01,0.003,2.92,0.75,110,39,Elk Hills Oil & Gas Field
S00696,35.277695,-119.479568,35.277695,-119.479568,ang20170615t234140-D,ang20170615t234140,6/15/17,23:41:40,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.016,0.001,4.81,0.49,280,37,Elk Hills Oil & Gas Field
S00696,35.277695,-119.479568,35.277695,-119.479568,ang20170915t182947-B,ang20170915t182947,9/15/17,18:29:47,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.017,0.004,2.92,0.75,181,60,Elk Hills Oil & Gas Field
S00697,35.25166763,-119.5732768,35.25166763,-119.5732768,ang20170915t193535-B,ang20170915t193535,9/15/17,19:35:35,LNF000030,oil/gas tank,1B2 Oil & Natural Gas,0.017,0.007,2.9,0.4,179,79,Midway Sunset Oil & Gas Field
S00697,35.25166763,-119.5732768,35.25166763,-119.5732768,ang20170915t194029-B,ang20170915t194029,9/15/17,19:40:29,LNF000030,oil/gas tank,1B2 Oil & Natural Gas,0.016,0.004,2.9,0.4,167,45,Midway Sunset Oil & Gas Field
S00697,35.25166763,-119.5732768,35.25166763,-119.5732768,ang20170915t194533-B,ang20170915t194533,9/15/17,19:45:33,LNF000030,oil/gas tank,1B2 Oil & Natural Gas,0.01,0.003,2.9,0.4,106,31,Midway Sunset Oil & Gas Field
S00697,35.25166763,-119.5732768,35.25166763,-119.5732768,ang20170915t195216-C,ang20170915t195216,9/15/17,19:52:16,LNF000030,oil/gas tank,1B2 Oil & Natural Gas,0.006,0.001,2.9,0.4,66,12,Midway Sunset Oil & Gas Field
S00697,35.25166763,-119.5732768,35.25166763,-119.5732768,ang20170915t195709-A,ang20170915t195709,9/15/17,19:57:09,LNF000030,oil/gas tank,1B2 Oil & Natural Gas,0.011,0,2.9,0.4,116,16,Midway Sunset Oil & Gas Field
S00698,35.26051386,-119.574936,35.26051386,-119.574936,ang20170915t195216-B,ang20170915t195216,9/15/17,19:52:16,FLD000285,oil/gas gathering line,1B2 Oil & Natural Gas,0.035,0.004,2.9,0.4,368,68,Midway Sunset Oil & Gas Field
S00698,35.26051386,-119.574936,35.26051386,-119.574936,ang20170915t195709-B,ang20170915t195709,9/15/17,19:57:09,FLD000285,oil/gas gathering line,1B2 Oil & Natural Gas,0.011,0.003,2.9,0.4,112,36,Midway Sunset Oil & Gas Field
S00699,36.29108863,-119.4585956,36.29108863,-119.4585956,ang20170916t184835-A,ang20170916t184835,9/16/17,18:48:35,DAF000632,dairy/manure,3A2 Manure Management,0.06,0.015,0.46,0.21,,,Moonlight Dairy
S00700,36.25094507,-119.4848183,36.25094507,-119.4848183,ang20170916t191839-A,ang20170916t191839,9/16/17,19:18:39,DAF000724,dairy/manure,3A2 Manure Management,0.019,0.006,1.75,0.12,116,39,Richard Westra Dairy
S00701,36.24760028,-119.4045674,36.24760028,-119.4045674,ang20170916t191839-B,ang20170916t191839,9/16/17,19:18:39,DAF000405,dairy/manure,3A2 Manure Management,0.02,0.002,1.75,0.12,126,16,Hynes Dairy
S00702,36.23705745,-119.5717484,36.23705745,-119.5717484,ang20170916t192836-A,ang20170916t192836,9/16/17,19:28:36,NA,dairy/manure,3A2 Manure Management,0.024,0.006,1.34,0.15,116,31,Joe B. Pacheco Dairy
S00703,36.18861429,-119.6775449,36.18861429,-119.6775449,ang20170916t200859-A,ang20170916t200859,9/16/17,20:08:59,NA,dairy/manure - digester,3A2 Manure Management,0.033,0.014,1.68,0.14,198,85,Unknown dairy 25
S00704,36.18245224,-119.6783388,36.18245224,-119.6783388,ang20170916t200859-B,ang20170916t200859,9/16/17,20:08:59,NA,dairy/manure - digester,3A2 Manure Management,0.076,0.018,1.68,0.14,463,118,Unknown dairy 25
S00707,35.25070917,-119.4047474,35.25070917,-119.4047474,ang20170926t194456-A,ang20170926t194456,9/26/17,19:44:56,FLD000140,oil/gas gathering line,1B2 Oil & Natural Gas,0.019,0.003,2.62,0.29,174,37,Elk Hills Oil & Gas Field
S00708,35.2548238,-119.3814368,35.2548238,-119.3814368,ang20170926t194456-B,ang20170926t194456,9/26/17,19:44:56,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.015,0.004,2.62,0.29,143,45,Elk Hills Oil & Gas Field
S00709,35.52580513,-119.0793764,35.52580513,-119.0793764,ang20170908t211246-D,ang20170908t211246,9/8/17,21:12:46,FLD000344,oil/gas tank,1B2 Oil & Natural Gas,0.011,0.003,8.92,0.22,356,94,Poso Creek Oil & Gas Field
S00709,35.52580513,-119.0793764,35.52580513,-119.0793764,ang20170926t211024-A,ang20170926t211024,9/26/17,21:10:24,FLD000344,oil/gas tank,1B2 Oil & Natural Gas,0.012,0.002,3.76,0.13,164,23,Poso Creek Oil & Gas Field
S00710,35.53099238,-119.0722369,35.53099238,-119.0722369,ang20170926t211741-A,ang20170926t211741,9/26/17,21:17:41,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.009,0,3.82,0.12,118,6,Poso Creek Oil & Gas Field
S00711,35.51920442,-119.0774443,35.51920442,-119.0774443,ang20170926t211024-B,ang20170926t211024,9/26/17,21:10:24,FLD000344,oil/gas tank,1B2 Oil & Natural Gas,0.019,0.002,3.76,0.13,260,30,Poso Creek Oil & Gas Field
S00712,35.41929931,-119.0083383,35.41929931,-119.0083383,ang20170309t195546-E,ang20170309t195546,3/9/17,19:55:46,REF000023,oil/gas tank,1B2 Oil & Natural Gas,0.017,0.001,2.19,0.09,135,13,Kern River Oil & Gas Field
S00712,35.41929931,-119.0083383,35.41929931,-119.0083383,ang20170908t205824-A,ang20170908t205824,9/8/17,20:58:24,REF000023,oil/gas tank,1B2 Oil & Natural Gas,0.009,0.003,6.59,0.19,223,75,Kern River Oil & Gas Field
S00712,35.41929931,-119.0083383,35.41929931,-119.0083383,ang20170926t205517-A,ang20170926t205517,9/26/17,20:55:17,REF000023,oil/gas tank,1B2 Oil & Natural Gas,0.011,0.004,3.17,0.5,123,47,Kern River Oil & Gas Field
S00713,35.165888,-119.099814,35.165888,-119.099814,ang20170920t182452-B,ang20170920t182452,9/20/17,18:24:52,DAF000104,dairy/manure,3A2 Manure Management,0.003,0.001,3.8,0.3,45,15,Bidart Dairy No. 2
S00713,35.165888,-119.099814,35.165888,-119.099814,ang20170926t183035-A,ang20170926t183035,9/26/17,18:30:35,DAF000104,dairy/manure,3A2 Manure Management,0.017,0.003,1.93,0.11,116,20,Bidart Dairy No. 2
S00713,35.165888,-119.099814,35.165888,-119.099814,ang20170926t220655-A,ang20170926t220655,9/26/17,22:06:55,DAF000104,dairy/manure,3A2 Manure Management,0.008,0.001,2.45,0.16,66,9,Bidart Dairy No. 2
