Source identifier ,Source latitude (deg),Source longitude (deg),Vista ID,Source type ,IPCC sector,N overflights,Source Persistence (f),Confidence in persistence ,Qsource (kg/hr),sQ  (kg/hr)
S00605,33.9283,-118.4297,WWT000068,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,12,0.08,1,22.3,9.9
S00609,35.2646,-119.3994,FLD000140,oil/gas stack,1B2 Oil & Natural Gas,9,0.22,0.9,63.7,12.5
S00610,35.1872,-119.1151,DAF001725,dairy/manure,3A2 Manure Management,21,0.29,1,70.8,29.4
S00611,35.1868,-119.1019,DAF001565,dairy/manure,3A2 Manure Management,14,0.14,1,29.2,10.2
S00612,35.4932,-119.4502,DAF001525,dairy/manure,3A2 Manure Management,9,0.22,0.9,27.7,9.5
S00614,36.0439,-119.4562,DAF000209,dairy/manure,3A2 Manure Management,10,0.4,0.9,110.5,39.8
S00616,36.4128,-119.3452,DAF001188,dairy/manure,3A2 Manure Management,5,0.8,0.8,81.5,7.7
S00617,36.4115,-119.3661,DAF001186,dairy/manure,3A2 Manure Management,10,0.9,0.9,214.2,117.1
S00618,38.3146,-121.8338,LNF000516,dairy/manure,3A2 Manure Management,4,0.25,0.7,240.5,80.3
S00624,37.4312,-121.9486,LNF000442,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,18,0.61,1,183.2,95
S00642,33.765,-118.0993,PWP000179,powerplant,1A1 Energy Industries,9,0.22,0.9,20,8.1
S00643,33.6394,-117.9566,WWT000087,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,8,0.13,0.9,14.3,5.1
S00644,33.7979,-118.2361,REF000020,oil/gas tank,1B2 Oil & Natural Gas,23,0.04,1,11.5,4.7
S00645,33.7969,-118.2491,LNG000047,gas LNG station,1B2 Oil & Natural Gas,14,0.07,1,69.5,45.1
S00646,33.8054,-118.244,REF000012,refinery,1A1 Energy Industries,22,0.05,1,2.4,1.5
S00647,33.9401,-118.4253,LNG000021,gas LNG station,1B2 Oil & Natural Gas,15,0.13,1,53.3,14
S00650,34.3179,-118.5733,NSF000001,oil/gas tank,1B2 Oil & Natural Gas,25,0.04,1,10.5,5.2
S00652,33.7968,-118.2374,REF000020,oil/gas tank,1B2 Oil & Natural Gas,18,0.06,1,3.7,1.7
S00653,33.7808,-118.2565,FAB003332,oil/gas tank,1B2 Oil & Natural Gas,9,0.33,0.9,36.9,13.7
S00654,33.7751,-118.2888,REF000013,refinery,1A1 Energy Industries,11,0.36,1,89.8,47.1
S00655,33.7744,-118.282,REF000013,refinery,1A1 Energy Industries,12,0.08,1,3.1,1.8
